Description,SUP,AD,SD,City,Total,Total H,(Alyssa) Latino_AN,(Alyssa) Latino_AN H,(Alyssa) Vietnamese_AN,(Alyssa) Vietnamese_AN H,(Alyssa) Chinese_AN,(Alyssa) Chinese_AN H
Total,,,,,,,,,,,,
Total,-,-,-,-,529649,248861,65323,39194,48245,21610,8872,5570
,,,,,,,,,,,,
3014047,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 4,2959,1122,702,294,1515,632,33,22
3014061,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 3,789,281,131,50,428,158,5,4
3014249,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 3,822,304,147,61,388,161,7,5
3014250,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 3,1107,472,87,50,604,274,12,7
3014252,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 4,796,276,180,70,446,173,6,6
3014257,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 4,1448,456,185,77,928,305,15,9
3014275,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 4,1251,457,149,81,657,247,0,0
3014317,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 4,1747,743,269,135,958,460,17,13
3014323,1,72,34,CITY OF GARDEN GROVE COUNCIL DISTRICT 3,1177,458,161,71,697,298,11,10
3031002,2,72,34,CITY OF FOUNTAIN VALLEY,3238,1231,247,116,300,135,78,43
3031004,2,72,34,CITY OF FOUNTAIN VALLEY,1585,972,302,208,236,166,31,26
3031005,2,72,34,CITY OF FOUNTAIN VALLEY,1061,375,57,33,218,75,57,19
3031009,2,72,34,CITY OF FOUNTAIN VALLEY,2422,946,208,122,458,206,80,51
3031010,1,72,34,CITY OF FOUNTAIN VALLEY,2066,727,193,86,828,307,36,19
3031013,1,72,34,CITY OF FOUNTAIN VALLEY,1247,494,233,122,404,159,33,15
3031014,1,72,34,CITY OF FOUNTAIN VALLEY,852,321,56,29,266,100,31,13
3031016,1,72,34,CITY OF FOUNTAIN VALLEY,2754,997,190,109,831,328,72,38
3031017,2,72,34,CITY OF FOUNTAIN VALLEY,2216,804,165,87,422,176,92,38
3031201,2,72,34,CITY OF FOUNTAIN VALLEY,2686,1065,169,100,404,182,99,56
3031210,1,72,34,CITY OF FOUNTAIN VALLEY,519,195,16,7,281,109,21,14
3031213,1,72,34,CITY OF FOUNTAIN VALLEY,701,260,63,29,235,99,6,5
3031214,2,72,34,CITY OF FOUNTAIN VALLEY,2476,953,218,118,260,107,46,31
3031216,1,72,34,CITY OF FOUNTAIN VALLEY,2462,913,230,113,946,358,38,27
3031218,1,72,34,CITY OF FOUNTAIN VALLEY,2901,1162,478,253,1039,406,67,38
3031223,2,72,34,CITY OF FOUNTAIN VALLEY,2137,996,186,118,142,77,52,34
3031224,2,72,34,CITY OF FOUNTAIN VALLEY,2446,958,231,116,323,143,162,80
3031225,2,72,34,CITY OF FOUNTAIN VALLEY,1884,825,181,108,351,172,89,43
3031241,2,72,34,CITY OF FOUNTAIN VALLEY,1253,722,307,200,225,115,22,17
3031242,1,72,34,CITY OF FOUNTAIN VALLEY,1190,470,124,69,296,113,49,22
3031246,2,72,34,CITY OF FOUNTAIN VALLEY,1095,420,112,56,248,98,21,13
3031247,2,72,34,CITY OF FOUNTAIN VALLEY,2432,957,326,158,594,249,92,49
